Agency_Name,Outlayed_Amount
"Department of Energy",9146846.58
"Department of Energy",2315490.24
"Department of Energy",79143037.58
"Department of Energy",2301096.52
"Department of Energy",2845294.35
"Department of Energy",1243158.10
"Department of Energy",728601.58
"Department of Energy",3621342.00
"Department of Energy",2707356.00
"Department of Energy",1249749.00
"Department of Energy",10853300.07
"Department of Energy",538186.36
"Department of Energy",75972.55
"Department of Energy",255132.51
"Department of Energy",1843900.75
"Department of Energy",29255.86
"Department of Energy",4568189.72
"Department of Energy",909883.70
"Department of Energy",128602.63
"Department of Energy",7796226.51
"Department of Energy",202809.33
"Department of Energy",3967139.36
"Department of Energy",44173612.76
"Department of Energy",5787073.83
"Department of Energy",24587728.31
"Department of Energy",18107597.97
"Department of Energy",20924749.27
"Department of Energy",15599819.37
"Department of Energy",4897983.77
"Department of Energy",5269004.60
"Department of Energy",1843229.44
"Department of Energy",2284977.98
"Department of Energy",566248.69
"Department of Energy",3189161.50
"Department of Energy",0.00
"Department of Energy",155979.60
"Department of Energy",1793161.12
"Department of Energy",2178209.74
"Department of Energy",0.00
"Department of Energy",5574396.53
"Department of Energy",162886.13
"Department of Energy",5001929.27
"Department of Energy",3983333.33
"Department of Energy",311607.00
"Department of Energy",11986345.53
"Department of Energy",5235302.56
"Department of Energy",6387032.03
"Department of Energy",3463334.36
"Department of Energy",7479240.78
"Department of Energy",12844471.55
"Department of Energy",16296958.99
"Department of Energy",26161.00
"Department of Energy",5269718.78
"Department of Energy",1760218.21
"Department of Energy",316413.13
"Department of Energy",45756463.61
"Department of Energy",61454.00
"Department of Energy",250988.92
"Department of Energy",847757.94
"Department of Energy",387877.49
"Department of Energy",69101.16
"Department of Energy",223612.59
"Department of Energy",6187466.41
"Department of Energy",670104.13
"Department of Energy",302519.79
"Department of Energy",14473974.01
"Department of Energy",523710.00
"Department of Energy",1945171.88
"Department of Energy",462890.44
"Department of Energy",750000.00
"Department of Energy",40863483.65
"Department of Energy",1660632.40
"Department of Energy",1601149.70
"Department of Energy",4139341.34
"Department of Energy",2264340.00
"Department of Energy",21693.78
"Department of Energy",2407514.14
"Department of Energy",428994.00
"Department of Energy",757763.00
"Department of Energy",9742079.73
"Department of Energy",27468.92
"Department of Energy",33055.08
"Department of Energy",1004310.94
"Department of Energy",3040198.53
"Department of Energy",504770.24
"Department of Energy",3182683.63
"Department of Energy",4028878.91
"Department of Energy",3921392.00
"Department of Energy",1725227.13
"Department of Energy",1281778.70
"Department of Energy",546620.85
"Department of Energy",464871.00
"Department of Energy",46813721.49
"Department of Energy",12635630.23
"Department of Energy",177775.00
"Department of Energy",3282782.84
"Department of Energy",13017414.17
"Department of Energy",771945.27
"Department of Energy",18706194.95
"Department of Energy",700531.68
"Department of Energy",8742713.95
"Department of Energy",3867718.42
"Department of Energy",5804832.08
"Department of Energy",2825310.49
"Department of Energy",78258.69
"Department of Energy",631301.49
"Department of Energy",67989278.46
"Department of Energy",56348060.61
"Department of Energy",20596.00
"Department of Energy",620238.89
"Department of Energy",4593466.45
"Department of Energy",657822.36
"Department of Energy",848511.59
"Department of Energy",125546.53
"Department of Energy",2551951.19
"Department of Energy",4414457.00
"Department of Energy",1807869.65
"Department of Energy",222873.00
"Department of Energy",3081332.24
"Department of Energy",23041.00
"Department of Energy",1351247.11
"Department of Energy",106135.00
"Department of Energy",182307.54
"Department of Energy",1248000.00
"Department of Energy",45423.11
"Department of Energy",5960669.00
"Department of Energy",1853378.41
"Department of Energy",28222725.60
"Department of Energy",11202996.27
"Department of Energy",410012.48
"Department of Energy",16327.62
"Department of Energy",5917222.25
"Department of Energy",47202.02
"Department of Energy",252194.46
"Department of Energy",26993.62
"Department of Energy",1456513.00
"Department of Energy",1196818.00
"Department of Energy",6095.11
"Department of Energy",228709.10
"Department of Energy",27462988.49
"Department of Energy",57900.02
"Department of Energy",207473.68
"Department of Energy",70000.00
"Department of Energy",367369.24
"Department of Energy",1315717.00
"Department of Energy",20385389.00
"Department of Energy",6897839.20
"Department of Energy",1304259.90
"Department of Energy",518607.78
"Department of Energy",422434.99
"Department of Energy",278736.25
"Department of Energy",2461828.67
"Department of Energy",14361334.50
"Department of Energy",260805.32
"Department of Energy",7164043.08
"Department of Energy",4138792.33
"Department of Energy",2324817.48
"Department of Energy",3170345.52
"Department of Energy",37754.10
"Department of Energy",720159.08
"Department of Energy",77458.00
"Department of Energy",1062508.88
"Department of Energy",2226276.16
"Department of Energy",629766.00
"Department of Energy",10649213.22
"Department of Energy",2987769.91
"Department of Energy",470224.08
"Department of Energy",11602258.74
"Department of Energy",188169.00
"Department of Energy",3580091.57
"Department of Energy",129652.51
"Department of Energy",63715.00
"Department of Energy",413846.89
"Department of Energy",124403.41
"Department of Energy",1582012.94
"Department of Energy",1040590.55
"Department of Energy",23598.02
"Department of Energy",495100.28
"Department of Energy",13162.00
"Department of Energy",5492011.13
"Department of Energy",4060149.14
"Department of Energy",7455794.55
"Department of Energy",7845073.27
"Department of Energy",3591961.62
"Department of Energy",13527075.24
"Department of Energy",12264.00
"Department of Energy",221931.00
"Department of Energy",199707.10
"Department of Energy",0.00
"Department of Energy",41696.54
"Department of Energy",22042.50
"Department of Energy",0.00
"Department of Energy",3591017.15
"Department of Energy",1288301.00
"Department of Energy",298705.00
"Department of Energy",679553.00
"Department of Energy",137203.40
"Department of Energy",15711.90
"Department of Energy",30777.53
"Department of Energy",838814.14
"Department of Energy",2731867.26
"Department of Energy",889178.15
"Department of Energy",91528.00
"Department of Energy",51666.46
"Department of Energy",3704403.74
"Department of Energy",67324758.92
"Department of Energy",5316568.73
"Department of Energy",1962596.49
"Department of Energy",346674.56
"Department of Energy",2772841.00
"Department of Energy",30109.22
"Department of Energy",2624835.82
"Department of Energy",9509750.59
"Department of Energy",8458737.24
"Department of Energy",6405499.21
"Department of Energy",1530258.28
"Department of Energy",32966.47
"Department of Energy",100568.00
"Department of Energy",32352.00
"Department of Energy",181529.88
"Department of Energy",11025.00
"Department of Energy",27318.00
"Department of Energy",18298.65
"Department of Energy",33329.00
"Department of Energy",11222.42
"Department of Energy",14490.00
"Department of Energy",84894.58
"Department of Energy",31564.76
"Department of Energy",293400.00
"Department of Energy",1611249.99
"Department of Energy",0.00
"Department of Energy",699718.25
"Department of Energy",5337811.48
"Department of Energy",21294.49
"Department of Energy",39637.63
"Department of Energy",826.31
"Department of Energy",12096.00
"Department of Energy",17163.58
"Department of Energy",18936.42
"Department of Energy",16176.80
"Department of Energy",10962.08
"Department of Energy",19388.39
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",12148.30
"Department of Energy",10213.95
"Department of Energy",11970.00
"Department of Energy",12991.34
"Department of Energy",15634.56
"Department of Energy",19249.40
"Department of Energy",10668.45
"Department of Energy",25000.00
"Department of Energy",15000.00
"Department of Energy",0.00
"Department of Energy",94408.49
"Department of Energy",40284018.24
"Department of Energy",591038.88
"Department of Energy",19233.51
"Department of Energy",580037.86
"Department of Energy",14758.71
"Department of Energy",296455.70
"Department of Energy",452479.27
"Department of Energy",21953.52
"Department of Energy",245719.93
"Department of Energy",16466.46
"Department of Energy",575.00
"Department of Energy",80878.04
"Department of Energy",3000857.61
"Department of Energy",71318.64
"Department of Energy",39400.00
"Department of Energy",220977.86
"Department of Energy",0.00
"Department of Energy",20152.03
"Department of Energy",24710.00
"Department of Energy",33468.26
"Department of Energy",212228.10
"Department of Energy",128536.00
"Department of Energy",154349.04
"Department of Energy",318691.71
"Department of Energy",261377.44
"Department of Energy",3915596.06
"Department of Energy",1448247.02
"Department of Energy",24923601.06
"Department of Energy",1722619.31
"Department of Energy",1126276.29
"Department of Energy",27238096.33
"Department of Energy",58488.00
"Department of Energy",361720.00
"Department of Energy",30632.16
"Department of Energy",204256.81
"Department of Energy",26016.24
"Department of Energy",314395.61
"Department of Energy",41914.00
"Department of Energy",324000.00
"Department of Energy",758248.64
"Department of Energy",96827.76
"Department of Energy",290065.53
"Department of Energy",173715.00
"Department of Energy",78550.15
"Department of Energy",1343572.78
"Department of Energy",353715.12
"Department of Energy",1074216.40
"Department of Energy",2048073.21
"Department of Energy",1750246.20
"Department of Energy",107362.73
"Department of Energy",796097.80
"Department of Energy",18073.43
"Department of Energy",1622087.75
"Department of Energy",7946182.47
"Department of Energy",41873.00
"Department of Energy",1112828.08
"Department of Energy",67897.00
"Department of Energy",924229.11
"Department of Energy",205146.00
"Department of Energy",73404.81
"Department of Energy",114635.74
"Department of Energy",0.00
"Department of Energy",581919.50
"Department of Energy",315756.00
"Department of Energy",86268.51
"Department of Energy",28749.99
"Department of Energy",107427.00
"Department of Energy",162496.16
"Department of Energy",96000.00
"Department of Energy",163620.00
"Department of Energy",2510.00
"Department of Energy",217504.63
"Department of Energy",18024.10
"Department of Energy",40098.90
"Department of Energy",15000.00
"Department of Energy",7478025.00
"Department of Energy",411207.54
"Department of Energy",2606928.47
"Department of Energy",14190.25
"Department of Energy",25411.91
"Department of Energy",101106.48
"Department of Energy",38888.00
"Department of Energy",194591.10
"Department of Energy",1463782.53
"Department of Energy",0.00
"Department of Energy",18078.00
"Department of Energy",16358.09
"Department of Energy",107825.00
"Department of Energy",50036.90
"Department of Energy",26805.12
"Department of Energy",126393.48
"Department of Energy",21973.79
"Department of Energy",563.22
"Department of Energy",36854.26
"Department of Energy",75623.37
"Department of Energy",26500.00
"Department of Energy",1221249.29
"Department of Energy",42287.50
"Department of Energy",45722.40
"Department of Energy",66461.48
"Department of Energy",15035.34
"Department of Energy",94146.00
"Department of Energy",14914454.01
"Department of Energy",28438.08
"Department of Energy",6731427.70
"Department of Energy",30916.31
"Department of Energy",206000.01
"Department of Energy",2572172.00
"Department of Energy",62888.93
"Department of Energy",82052.08
"Department of Energy",41186.50
"Department of Energy",449207.86
"Department of Energy",10376.26
"Department of Energy",13833.30
"Department of Energy",67712.90
"Department of Energy",52525.20
"Department of Energy",29962.50
"Department of Energy",33264.00
"Department of Energy",20558.32
"Department of Energy",14472.00
"Department of Energy",33090.84
"Department of Energy",39259.91
"Department of Energy",25573.68
"Department of Energy",47920.00
"Department of Energy",20155.67
"Department of Energy",2289383.23
"Department of Energy",71250.00
"Department of Energy",85272.00
"Department of Energy",21357.86
"Department of Energy",20271.30
"Department of Energy",138723.00
"Department of Energy",54605.00
"Department of Energy",84221.62
"Department of Energy",91362.00
"Department of Energy",45640.00
"Department of Energy",39795.28
"Department of Energy",87204.15
"Department of Energy",27153.57
"Department of Energy",119795.00
"Department of Energy",4392.00
"Department of Energy",109990.00
"Department of Energy",3824.00
"Department of Energy",22088.00
"Department of Energy",59194.50
"Department of Energy",213750.00
"Department of Energy",248101.00
"Department of Energy",70704.00
"Department of Energy",1494899.79
"Department of Energy",2647854.00
"Department of Energy",12132.00
"Department of Energy",89612.64
"Department of Energy",152926.00
"Department of Energy",11525.00
"Department of Energy",11649.00
"Department of Energy",122178.00
"Department of Energy",91893.72
"Department of Energy",354155.52
"Department of Energy",19864.95
"Department of Energy",10144.10
"Department of Energy",15000.00
"Department of Energy",27300.00
"Department of Energy",11980.00
"Department of Energy",816267.00
"Department of Energy",61888.50
"Department of Energy",11388.71
"Department of Energy",17491.96
"Department of Energy",5769.50
"Department of Energy",30966.04
"Department of Energy",17500.00
"Department of Energy",22416.72
"Department of Energy",29822.88
"Department of Energy",61264.50
"Department of Energy",31006.80
"Department of Energy",15609.64
"Department of Energy",12486.11
"Department of Energy",5620664.86
"Department of Energy",34987.03
"Department of Energy",7792715.97
"Department of Energy",28853454.92
"Department of Energy",460865.64
"Department of Energy",91441.01
"Department of Energy",78381.50
"Department of Energy",46392.00
"Department of Energy",835078.46
"Department of Energy",1889435.50
"Department of Energy",549731.96
"Department of Energy",24425.50
"Department of Energy",9231.64
"Department of Energy",476821.84
"Department of Energy",2003086.34
"Department of Energy",573546.23
"Department of Energy",72835.00
"Department of Energy",223000.02
"Department of Energy",261597.58
"Department of Energy",621819.03
"Department of Energy",17388.00
"Department of Energy",1465950.23
"Department of Energy",197347.21
"Department of Energy",82905.50
"Department of Energy",740439.94
"Department of Energy",425097.85
"Department of Energy",10723530.72
"Department of Energy",355251.92
"Department of Energy",3093079.55
"Department of Energy",1878048.20
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",0.00
"Department of Energy",8427277.66
"Department of Energy",203830.68
"Department of Energy",3178310.27
"Department of Energy",363069.00
"Department of Energy",1227009.73
"Department of Energy",559251.02
"Department of Energy",82139.50
"Department of Energy",262847.58
"Department of Energy",23000.00
"Department of Energy",51291.40
"Department of Energy",1149947.00
"Department of Energy",2248256.82
"Department of Energy",432085.00
"Department of Energy",1054121.65
"Department of Energy",17292.67
"Department of Energy",223965.65
"Department of Energy",53710.00
"Department of Energy",124746.35
"Department of Energy",50000.00
"Department of Energy",11906.00
"Department of Energy",167800.20
"Department of Energy",152465.04
"Department of Energy",50000.00
"Department of Energy",2208860.60
"Department of Energy",4198185.73
"Department of Energy",23805.00
"Department of Energy",2996413.14
"Department of Energy",103921.63
"Department of Energy",458082.00
"Department of Energy",283297.98
"Department of Energy",465034.50
"Department of Energy",10355.14
"Department of Energy",26654.36
"Department of Energy",14982.94
"Department of Energy",122000.84
"Department of Energy",46680.00
"Department of Energy",52184.02
"Department of Energy",37800.00
"Department of Energy",12378.00
"Department of Energy",19224.60
"Department of Energy",191400.00
"Department of Energy",26272.00
"Department of Energy",3152236.22
"Department of Energy",86416.23
"Department of Energy",0.00
"Department of Energy",755203.03
"Department of Energy",11742669.38
"Department of Energy",151243.98
"Department of Energy",28442.20
"Department of Energy",106524.54
"Department of Energy",2229069.19
"Department of Energy",142815.00
"Department of Energy",21985.00
"Department of Energy",86644.85
"Department of Energy",4825.00
"Department of Energy",0.00
"Department of Energy",22651.57
"Department of Energy",8250.00
"Department of Energy",41888.00
"Department of Energy",10003681.44
"Department of Energy",249578.45
"Department of Energy",59253.41
"Department of Energy",256739.00
"Department of Energy",164483.57
"Department of Energy",746664.45
"Department of Energy",1233477.98
"Department of Energy",32080.05
"Department of Energy",3054591.52
"Department of Energy",1160997.02
"Department of Energy",38525.05
"Department of Energy",210928.92
"Department of Energy",10011357.08
"Department of Energy",423680.92
"Department of Energy",7800.00
"Department of Energy",36382.97
"Department of Energy",144445.00
"Department of Energy",26064.03
"Department of Energy",139125.00
"Department of Energy",410127.91
"Department of Energy",37218566.96
"Department of Energy",48645.40
"Department of Energy",74188.95
"Department of Energy",2472678.21
"Department of Energy",37599.47
"Department of Energy",363832.00
"Department of Energy",70865.54
"Department of Energy",1170277.25
"Department of Energy",13011099.32
"Department of Energy",1657117.00
"Department of Energy",479376.22
"Department of Energy",1231538.34
"Department of Energy",65000.00
"Department of Energy",38479.51
"Department of Energy",18763.00
"Department of Energy",30182.00
"Department of Energy",69034.52
"Department of Energy",3552.15
"Department of Energy",0.00
"Department of Energy",39241.36
"Department of Energy",0.00
"Department of Energy",224893.05
"Department of Energy",10439025.12
"Department of Energy",46674657.62
"Department of Energy",1414995.00
"Department of Energy",18365896.11
"Department of Energy",598186.70
"Department of Energy",537317.16
"Department of Energy",98074.00
"Department of Energy",2730238.50
"Department of Energy",26285.80
"Department of Energy",947.20
"Department of Energy",75500.00
"Department of Energy",2787231.00
"Department of Energy",53650.33
"Department of Energy",0.00
"Department of Energy",767628.00
"Department of Energy",69899.93
"Department of Energy",206245.60
"Department of Energy",70517.16
"Department of Energy",130894.26
"Department of Energy",13963.00
"Department of Energy",213363.60
"Department of Energy",84531.31
"Department of Energy",276340.00
"Department of Energy",30975.83
"Department of Energy",59007.40
"Department of Energy",103184.00
"Department of Energy",80413.50
"Department of Energy",45345.00
"Department of Energy",126710.91
"Department of Energy",75626.00
"Department of Energy",11142.40
"Department of Energy",115755.00
"Department of Energy",415123.89
"Department of Energy",14250.00
"Department of Energy",16308.32
"Department of Energy",117600.82
"Department of Energy",291446.00
"Department of Energy",635211.97
"Department of Energy",86660.00
"Department of Energy",1364346.00
"Department of Energy",99475.37
"Department of Energy",10544514.68
"Department of Energy",57521596.84
"Department of Energy",23535.78
"Department of Energy",7349835.77
"Department of Energy",415231.50
"Department of Energy",56859.54
"Department of Energy",14542.00
"Department of Energy",26276.37
"Department of Energy",168189.78
"Department of Energy",62400.77
"Department of Energy",14229.03
"Department of Energy",109581.00
"Department of Energy",21763.23
"Department of Energy",403655.00
"Department of Energy",14932.12
"Department of Energy",174028.00
"Department of Energy",48595.55
"Department of Energy",551111.27
"Department of Energy",259992.00
"Department of Energy",46294.47
"Department of Energy",4099451.85
"Department of Energy",18590.30
"Department of Energy",86664.00
"Department of Energy",14343.34
"Department of Energy",60562.29
"Department of Energy",13306.16
"Department of Energy",85895.99
"Department of Energy",594929.00
"Department of Energy",68809.73
"Department of Energy",17295.00
"Department of Energy",24230.00
"Department of Energy",11440.00
"Department of Energy",20303.88
"Department of Energy",86664.00
"Department of Energy",30144.53
"Department of Energy",11525.00
"Department of Energy",16105.26
"Department of Energy",12932.00
"Department of Energy",333457.02
"Department of Energy",73789.21
"Department of Energy",1351800.48
"Department of Energy",82387.91
"Department of Energy",53988.40
"Department of Energy",284770.35
"Department of Energy",12817.71
"Department of Energy",49781.22
"Department of Energy",249824.62
"Department of Energy",37234.62
"Department of Energy",243162.36
"Department of Energy",37624.00
"Department of Energy",199268.00
"Department of Energy",49895.00
"Department of Energy",60814.27
"Department of Energy",15906.60
"Department of Energy",18635.84
"Department of Energy",45641.92
"Department of Energy",88590.00
"Department of Energy",56700.00
"Department of Energy",31228.00
"Department of Energy",22087.80
"Department of Energy",31011.36
"Department of Energy",37916.90
"Department of Energy",19953.91
"Department of Energy",65000.00
"Department of Energy",33133.50
"Department of Energy",14826.46
"Department of Energy",1347764.00
"Department of Energy",15382.25
"Department of Energy",72477.62
"Department of Energy",3196572.04
"Department of Energy",20824.08
"Department of Energy",250430.99
"Department of Energy",249900.00
"Department of Energy",56125.75
"Department of Energy",14708.65
"Department of Energy",92159.33
"Department of Energy",20721.87
"Department of Energy",92720.55
"Department of Energy",37944.00
"Department of Energy",11097.00
"Department of Energy",14847.00
"Department of Energy",403487.36
"Department of Energy",47099.48
"Department of Energy",591623.00
"Department of Energy",83624.61
"Department of Energy",24220.02
"Department of Energy",49228.50
"Department of Energy",689781.24
"Department of Energy",113163.92
"Department of Energy",651887.07
"Department of Energy",12626.75
"Department of Energy",47800.00
"Department of Energy",13450.00
"Department of Energy",16800.00
"Department of Energy",29528.75
"Department of Energy",14376.10
"Department of Energy",405554.56
"Department of Energy",10100.00
"Department of Energy",47880.00
"Department of Energy",90149.07
"Department of Energy",0.00
"Department of Energy",10425.00
"Department of Energy",0.00
"Department of Energy",23000.00
"Department of Energy",23535.70
"Department of Energy",80000.00
"Department of Energy",20000.00
"Department of Energy",40692.62
"Department of Energy",13080.00
"Department of Energy",99799.60
"Department of Energy",58264.50
"Department of Energy",18919.87
"Department of Energy",25385.00
"Department of Energy",26544.91
"Department of Energy",159846.00
"Department of Energy",39306.26
"Department of Energy",14377.50
"Department of Energy",37832.80
"Department of Energy",61651.52
"Department of Energy",18432.21
"Department of Energy",101850.00
"Department of Energy",49717.61
"Department of Energy",123104.16
"Department of Energy",260751.41
"Department of Energy",9409.36
"Department of Energy",17100.00
"Department of Energy",104800.00
"Department of Energy",14626.00
"Department of Energy",19148.93
"Department of Energy",108460.00
"Department of Energy",20956.10
"Department of Energy",43312.00
"Department of Energy",23240.00
"Department of Energy",78483.56
"Department of Energy",50400.00
"Department of Energy",90630.00
"Department of Energy",39258.00
"Department of Energy",34649.98
"Department of Energy",14287.50
"Department of Energy",40100.00
"Department of Energy",230025.95
"Department of Energy",1456450.00
"Department of Energy",11702.55
"Department of Energy",48520.00
"Department of Energy",31140.00
"Department of Energy",53013.00
"Department of Energy",22115.45
"Department of Energy",64132.00
"Department of Energy",64760.00
"Department of Energy",100000.00
"Department of Energy",74351.52
"Department of Energy",20000.00
"Department of Energy",33600.00
"Department of Energy",173409.60
"Department of Energy",68930.63
"Department of Energy",28169.60
"Department of Energy",16950.00
"Department of Energy",80886.00
"Department of Energy",394949.45
"Department of Energy",12291.08
"Department of Energy",86256.00
"Department of Energy",100312.00
"Department of Energy",9914.07
"Department of Energy",22000.00
"Department of Energy",2423.78
"Department of Energy",7439.95
"Department of Energy",74875.00
"Department of Energy",951085.58
"Department of Energy",200843.90
"Department of Energy",1773512.38
"Department of Energy",1073073.28
"Department of Energy",269405.02
"Department of Energy",1158047.71
"Department of Energy",221989.01
"Department of Energy",87807.96
"Department of Energy",169029.01
"Department of Energy",175209.40
"Department of Energy",797727.44
"Department of Energy",1056551.53
"Department of Energy",2479326.07
"Department of Energy",176207.92
"Department of Energy",425956.91
"Department of Energy",104415.25
"Department of Energy",2028668.01
"Department of Energy",2287921.85
"Department of Energy",2726398.11
"Department of Energy",175953.34
"Department of Energy",176763.78
"Department of Energy",213351.68
"Department of Energy",454793.44
"Department of Energy",1112409.35
"Department of Energy",29194.76
"Department of Energy",575466.90
"Department of Energy",5048317.44
"Department of Energy",789644.49
"Department of Energy",1874472.63
"Department of Energy",362606.07
"Department of Energy",2013102.01
"Department of Energy",539350.92
"Department of Energy",39166.09
"Department of Energy",24456.72
"Department of Energy",13667.73
"Department of Energy",10282.52
"Department of Energy",275158.58
"Department of Energy",12543.60
"Department of Energy",2280203.80
"Department of Energy",663622.91
"Department of Energy",87171.80
"Department of Energy",74502.14
"Department of Energy",52873.68
"Department of Energy",281107.80
"Department of Energy",229553.10
"Department of Energy",76750.98
"Department of Energy",42666.40
"Department of Energy",1111727.21
"Department of Energy",88996.15
"Department of Energy",598219.43
"Department of Energy",164450.91
"Department of Energy",2857006.85
"Department of Energy",2237711.97
"Department of Energy",11122599.34
"Department of Energy",3449490.67
"Department of Energy",4964811.00
"Department of Energy",1653408.64
"Department of Energy",371.25
"Department of Energy",146480.13
"Department of Energy",268720.77
"Department of Energy",62927.28
"Department of Energy",468.18
"Department of Energy",304277.70
"Department of Energy",1043528.26
"Department of Energy",33812.00
"Department of Energy",36220.30
"Department of Energy",0.00
"Department of Energy",8413.89
"Department of Energy",2601.84
"Department of Energy",23500.00
"Department of Energy",25134.46
"Department of Energy",631.32
"Department of Energy",17310044.06
"Department of Energy",0.00
"Department of Energy",70120.00
"Department of Energy",50547.00
"Department of Energy",108466.00
"Department of Energy",0.00
"Department of Energy",37824.50
"Department of Energy",2785534.77
"Department of Energy",76333.17
"Department of Energy",338265.60
"Department of Energy",466092.00
"Department of Energy",8328.64
"Department of Energy",109237.50
"Department of Energy",525864.38
"Department of Energy",266666.00
"Department of Energy",433108.21
"Department of Energy",442427.87
"Department of Energy",9166262.45
"Department of Energy",4289513.09
"Department of Energy",1024461.40
"Department of Energy",4981215.11
"Department of Energy",127479.33
"Department of Energy",187751.46
"Department of Energy",472128.03
"Department of Energy",345536.96
"Department of Energy",2505349.14
"Department of Energy",6185704.78
"Department of Energy",8153810.44
"Department of Energy",908855.78
"Department of Energy",268813.23
"Department of Energy",5976918.55
"Department of Energy",7667943.63
"Department of Energy",8447545.50
"Department of Energy",356251.40
"Department of Energy",652727.98
"Department of Energy",416388.27
"Department of Energy",1537348.83
"Department of Energy",3361632.96
"Department of Energy",4944767.72
"Department of Energy",65857.27
"Department of Energy",2367727.24
"Department of Energy",17417108.27
"Department of Energy",3417021.36
"Department of Energy",540478.49
"Department of Energy",129330.90
"Department of Energy",467916.35
"Department of Energy",765022.07
"Department of Energy",1033501.47
"Department of Energy",112734.79
"Department of Energy",601380.76
"Department of Energy",51192.00
"Department of Energy",88002.55
"Department of Energy",369253.54
"Department of Energy",237055.22
"Department of Energy",51431.25
"Department of Energy",515618.57
"Department of Energy",278822.03
"Department of Energy",126884.00
"Department of Energy",204560.82
"Department of Energy",25742.40
"Department of Energy",49464.27
"Department of Energy",301421.68
"Department of Energy",261367.78
"Department of Energy",536463.51
"Department of Energy",64371.08
"Department of Energy",0.00
"Department of Energy",249427.13
"Department of Energy",388104.53
"Department of Energy",317748.25
"Department of Energy",522874.88
"Department of Energy",92697.60
"Department of Energy",77280.83
"Department of Energy",6497589.18
"Department of Energy",289251.23
"Department of Energy",97371.80
"Department of Energy",732.04
"Department of Energy",0.00
"Department of Energy",11541.84
"Department of Energy",33473.51
"Department of Energy",8700.00
"Department of Energy",1911.08
"Department of Energy",63952.75
"Department of Energy",6196.78
"Department of Energy",5463.20
"Department of Energy",14982.64
"Department of Energy",8109.56
"Department of Energy",100000.00
